request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,153.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 November 2025. None of the available options keeps the ZAR 28,300 minimum protected."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,1538387.13,affordable_later,wait,2024-11-16:18164000,2024-11-16,none,"Wait until 16 November 2024, then pay IDR 18,164,000 in full. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,8240.63,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the ZAR 35,700 minimum protected."
request_33,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 102,100 minimum protected."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,11404,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 106,400 minimum protected."
request_36,375.56,affordable_later,wait,2026-09-16:3954,2026-09-16,none,"Wait until 16 September 2026, then pay USD 3,954 in full. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,60710.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,155.56,affordable_later,wait,2025-10-16:971.30,2025-10-16,none,"Wait until 16 October 2025, then pay EUR 971.3 in full. Paying earlier would take the balance below the EUR 400 minimum."
request_39,34583.62,affordable_later,wait,2026-06-16:208600,2026-06-16,none,"Wait until 16 June 2026, then pay INR 208,600 in full. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,276.16,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,500 minimum protected."
request_41,7759120.03,affordable_later,wait,2026-01-16:38760000,2026-01-16,none,"Wait until 16 January 2026, then pay IDR 38,760,000 in full. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8131874.42,affordable_later,wait,2024-11-16:43339000,2024-11-16,none,"Wait until 16 November 2024, then pay IDR 43,339,000 in full. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,21018.80,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 April 2025. None of the available options keeps the INR 82,900 minimum protected."
request_45,3010975.61,affordable_later,wait,2026-09-16:21983000,2026-09-16,none,"Wait until 16 September 2026, then pay IDR 21,983,000 in full. Paying earlier would take the balance below the IDR 11,149,800 minimum."
request_46,32084.22,affordable_with_plan,installments,2024-12-04:17472.34|2025-01-04:17472.34|2025-02-04:17472.34,2025-01-16,none,"Use 3 installments of INR 17,472.34, starting 4 December 2024. This leaves at least INR 84,000 available."
request_47,16255487.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 19 June 2025. None of the available options keeps the IDR 30,049,000 minimum protected."
request_48,43366.37,affordable_later,wait,2026-10-16:45700,2026-10-16,none,"Wait until 16 October 2026, then pay INR 45,700 in full. Paying earlier would take the balance below the INR 71,300 minimum."
request_49,11553361.68,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20,275,700 minimum protected."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18573.87,affordable_later,wait,2024-06-16:28870,2024-06-16,none,"Wait until 16 June 2024, then pay INR 28,870 in full. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,432.13,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 20 January 2026. None of the available options keeps the USD 2,100 minimum protected."
request_54,1582.75,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,115116.42,not_affordable,not_recommended,none,2026-08-16,none,"Do not make this payment by 22 August 2026. None of the available options keeps the INR 124,300 minimum protected."
request_56,494.16,affordable_with_plan,partial_payment,2025-02-03:494.16|2025-02-16:387.40,2025-02-16,none,"Pay USD 494.16 today, then pay USD 387.4 on 16 February 2025. This keeps the USD 2,100 minimum protected."
request_57,12349.83,affordable_later,wait,2026-06-16:61446,2026-06-16,none,"Wait until 16 June 2026, then pay ZAR 61,446 in full. Paying earlier would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
